"id","name","city_id"
1,"",1
2,"旭ケ丘",1
3,"大通東",1
4,"大通西",1
5,"大通西",1
6,"北一条東",1
7,"北一条西",1
8,"北一条西",1
9,"北二条東",1
10,"北二条西",1
11,"北二条西",1
12,"北三条東",1
13,"北三条西",1
14,"北三条西",1
15,"北四条東",1
16,"北四条西",1
17,"北四条西",1
18,"北五条東",1
19,"北五条西",1
20,"北五条西",1
21,"北六条西",1
22,"北六条西",1
23,"北七条西",1
24,"北八条西",1
25,"北九条西",1
26,"北十条西",1
27,"北十一条西",1
28,"北十二条西",1
29,"北十三条西",1
30,"北十四条西",1
31,"北十五条西",1
32,"北十六条西",1
33,"北十七条西",1
34,"北十八条西",1
35,"北二十条西",1
36,"北二十一条西",1
37,"北二十二条西",1
38,"界川",1
39,"中島公園",1
40,"盤渓",1
41,"伏見",1
42,"双子山",1
43,"円山西町",1
44,"南一条東",1
45,"南一条西",1
46,"南一条西",1
47,"南二条東",1
48,"南二条西",1
49,"南二条西",1
50,"南三条東",1
51,"南三条西",1
52,"南三条西",1
53,"南四条東",1
54,"南四条西",1
55,"南五条東",1
56,"南五条西",1
57,"南六条東",1
58,"南六条西",1
59,"南七条東",1
60,"南七条西",1
61,"南八条西",1
62,"南九条西",1
63,"南十条西",1
64,"南十一条西",1
65,"南十二条西",1
66,"南十三条西",1
67,"南十四条西",1
68,"南十五条西",1
69,"南十六条西",1
70,"南十七条西",1
71,"南十八条西",1
72,"南十九条西",1
73,"南二十条西",1
74,"南二十一条西",1
75,"南二十二条西",1
76,"南二十三条西",1
77,"南二十四条西",1
78,"南二十五条西",1
79,"南二十六条西",1
80,"南二十七条西",1
81,"南二十八条西",1
82,"南二十九条西",1
83,"南三十条西",1
84,"宮ケ丘",1
85,"宮の森",1
86,"宮の森一条",1
87,"宮の森二条",1
88,"宮の森三条",1
89,"宮の森四条",1
90,"",2
91,"あいの里一条",2
92,"あいの里二条",2
93,"あいの里三条",2
94,"あいの里四条",2
95,"あいの里五条",2
96,"麻生町",2
97,"北六条西",2
98,"北七条西",2
99,"北八条西",2
100,"北九条西",2
101,"北十条西",2
102,"北十条西",2
103,"北十一条西",2
104,"北十一条西",2
105,"北十二条西",2
106,"北十二条西",2
107,"北十三条西",2
108,"北十三条西",2
109,"北十四条西",2
110,"北十四条西",2
111,"北十五条西",2
112,"北十五条西",2
113,"北十六条西",2
114,"北十六条西",2
115,"北十七条西",2
116,"北十七条西",2
117,"北十八条西",2
118,"北十八条西",2
119,"北十九条西",2
120,"北十九条西",2
121,"北二十条西",2
122,"北二十条西",2
123,"北二十一条西",2
124,"北二十二条西",2
125,"北二十三条西",2
126,"北二十四条西",2
127,"北二十五条西",2
128,"北二十六条西",2
129,"北二十七条西",2
130,"北二十八条西",2
131,"北二十九条西",2
132,"北三十条西",2
133,"北三十一条西",2
134,"北三十二条西",2
135,"北三十三条西",2
136,"北三十四条西",2
137,"北三十五条西",2
138,"北三十六条西",2
139,"北三十七条西",2
140,"北三十八条西",2
141,"北三十九条西",2
142,"北四十条西",2
143,"篠路一条",2
144,"篠路二条",2
145,"篠路三条",2
146,"篠路四条",2
147,"篠路五条",2
148,"篠路六条",2
149,"篠路七条",2
150,"篠路八条",2
151,"篠路九条",2
152,"篠路十条",2
153,"篠路町上篠路",2
154,"篠路町篠路",2
155,"篠路町太平",2
156,"篠路町拓北",2
157,"篠路町福移",2
158,"新川",2
159,"新川一条",2
160,"新川二条",2
161,"新川三条",2
162,"新川四条",2
163,"新川五条",2
164,"新川六条",2
165,"新川七条",2
166,"新川八条",2
167,"新川西一条",2
168,"新川西二条",2
169,"新川西三条",2
170,"新川西四条",2
171,"新川西五条",2
172,"新琴似一条",2
173,"新琴似二条",2
174,"新琴似三条",2
175,"新琴似四条",2
176,"新琴似五条",2
177,"新琴似六条",2
178,"新琴似七条",2
179,"新琴似八条",2
180,"新琴似九条",2
181,"新琴似十条",2
182,"新琴似十一条",2
183,"新琴似十二条",2
184,"新琴似町",2
185,"太平一条",2
186,"太平二条",2
187,"太平三条",2
188,"太平四条",2
189,"太平五条",2
190,"太平六条",2
191,"太平七条",2
192,"太平八条",2
193,"太平九条",2
194,"太平十条",2
195,"太平十一条",2
196,"太平十二条",2
197,"拓北一条",2
198,"拓北二条",2
199,"拓北三条",2
200,"拓北四条",2
201,"拓北五条",2
202,"拓北六条",2
203,"拓北七条",2
204,"拓北八条",2
205,"屯田一条",2
206,"屯田二条",2
207,"屯田三条",2
208,"屯田四条",2
209,"屯田五条",2
210,"屯田六条",2
211,"屯田七条",2
212,"屯田八条",2
213,"屯田九条",2
214,"屯田十条",2
215,"屯田十一条",2
216,"屯田町",2
217,"西茨戸",2
218,"西茨戸一条",2
219,"西茨戸二条",2
220,"西茨戸三条",2
221,"西茨戸四条",2
222,"西茨戸五条",2
223,"西茨戸六条",2
224,"西茨戸七条",2
225,"東茨戸",2
226,"東茨戸一条",2
227,"東茨戸二条",2
228,"東茨戸三条",2
229,"東茨戸四条",2
230,"南あいの里",2
231,"百合が原",2
232,"百合が原公園",2
233,"",3
234,"丘珠町",3
235,"北丘珠一条",3
236,"北丘珠二条",3
237,"北丘珠三条",3
238,"北丘珠四条",3
239,"北丘珠五条",3
240,"北丘珠六条",3
241,"北四条東",3
242,"北五条東",3
243,"北五条東",3
244,"北六条東",3
245,"北六条東",3
246,"北七条東",3
247,"北七条東",3
248,"北八条東",3
249,"北八条東",3
250,"北九条東",3
251,"北九条東",3
252,"北十条東",3
253,"北十一条東",3
254,"北十二条東",3
255,"北十三条東",3
256,"北十四条東",3
257,"北十五条東",3
258,"北十六条東",3
259,"北十七条東",3
260,"北十八条東",3
261,"北十九条東",3
262,"北二十条東",3
263,"北二十一条東",3
264,"北二十二条東",3
265,"北二十三条東",3
266,"北二十四条東",3
267,"北二十五条東",3
268,"北二十六条東",3
269,"北二十七条東",3
270,"北二十八条東",3
271,"北三十条東",3
272,"北三十一条東",3
273,"北三十二条東",3
274,"北三十三条東",3
275,"北三十四条東",3
276,"北三十五条東",3
277,"北三十六条東",3
278,"北三十七条東",3
279,"北三十八条東",3
280,"北三十九条東",3
281,"北四十条東",3
282,"北四十一条東",3
283,"北四十二条東",3
284,"北四十三条東",3
285,"北四十四条東",3
286,"北四十五条東",3
287,"北四十六条東",3
288,"北四十七条東",3
289,"北四十八条東",3
290,"北四十九条東",3
291,"北五十条東",3
292,"北五十一条東",3
293,"栄町",3
294,"苗穂町",3
295,"中沼一条",3
296,"中沼二条",3
297,"中沼三条",3
298,"中沼四条",3
299,"中沼五条",3
300,"中沼六条",3
301,"中沼町",3
302,"中沼西一条",3
303,"中沼西二条",3
304,"中沼西三条",3
305,"中沼西四条",3
306,"中沼西五条",3
307,"東雁来一条",3
308,"東雁来二条",3
309,"東雁来三条",3
310,"東雁来四条",3
311,"東雁来五条",3
312,"東雁来六条",3
313,"東雁来七条",3
314,"東雁来八条",3
315,"東雁来九条",3
316,"東雁来十条",3
317,"東雁来十一条",3
318,"東雁来十二条",3
319,"東雁来十三条",3
320,"東雁来十四条",3
321,"東雁来町",3
322,"東苗穂一条",3
323,"東苗穂二条",3
324,"東苗穂三条",3
325,"東苗穂四条",3
326,"東苗穂五条",3
327,"東苗穂六条",3
328,"東苗穂七条",3
329,"東苗穂八条",3
330,"東苗穂九条",3
331,"東苗穂十条",3
332,"東苗穂十一条",3
333,"東苗穂十二条",3
334,"東苗穂十三条",3
335,"東苗穂十四条",3
336,"東苗穂十五条",3
337,"東苗穂町",3
338,"伏古一条",3
339,"伏古二条",3
340,"伏古三条",3
341,"伏古四条",3
342,"伏古五条",3
343,"伏古六条",3
344,"伏古七条",3
345,"伏古八条",3
346,"伏古九条",3
347,"伏古十条",3
348,"伏古十一条",3
349,"伏古十二条",3
350,"伏古十三条",3
351,"伏古十四条",3
352,"本町一条",3
353,"本町二条",3
354,"モエレ沼公園",3
355,"",4
356,"川北一条",4
357,"川北二条",4
358,"川北三条",4
359,"川北四条",4
